layer_nr,thickness_m,ends_at_m,sensor,soil_type,sand,clay,Wsat,Wfc,Wwilt,Ksat,Psi_sat,bcoef,dry_density,enclosure_slope,observed_forcing,zusl,ztsl,draindens,deglat,deglng,vf_type
1,0.025,0.025,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
2,0.025,0.05,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
3,0.05,0.1,sensor_75mm,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
4,0.025,0.125,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
5,0.025,0.15,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
6,0.025,0.175,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
7,0.025,0.19999999999999998,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
8,0.05,0.25,sensor_225mm,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
9,0.025,0.275,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
10,0.025,0.30000000000000004,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
11,0.025,0.32500000000000007,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
12,0.025,0.3500000000000001,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
13,0.1,0.45000000000000007,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
14,0.15,0.6000000000000001,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
15,0.15,0.7500000000000001,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
16,0.325,1.0750000000000002,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
17,0.025,1.1,No sensor,s2,84.31,3.59,0.306,0.1731,0.1045,1.85e-05,0.351,7.78,1649.0,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
18,0.025,1.125,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
19,0.025,1.15,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
20,0.2,1.3499999999999999,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
21,0.2,1.5499999999999998,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
22,0.175,1.7249999999999999,No sensor,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
23,0.05,1.775,sensor_1750mm,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
24,0.125,1.9,sensor_1850mm,s1,57.03,8.34,0.2991,0.0775,0.025,1.42e-05,0.29,3.45,1644.1,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
