layer_nr,thickness_m,ends_at_m,sensor,soil_type,sand,clay,Wsat,Wfc,Wwilt,Ksat,Psi_sat,bcoef,dry_density,enclosure_slope,observed_forcing,zusl,ztsl,draindens,deglat,deglng,vf_type
1,0.025,0.025,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
2,0.025,0.05,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
3,0.05,0.1,sensor_75mm,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
4,0.025,0.125,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
5,0.025,0.15,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
6,0.025,0.175,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
7,0.025,0.19999999999999998,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
8,0.05,0.25,sensor_225mm,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
9,0.1,0.35,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
10,0.2,0.55,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
11,0.2,0.75,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
12,0.325,1.075,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
13,0.025,1.0999999999999999,No sensor,s2,26.3,10.02,0.4559,0.1993,0.1175,2.33e-06,0.343,4.87,1469.17,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
14,0.025,1.1249999999999998,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
15,0.025,1.1499999999999997,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
16,0.2,1.3499999999999996,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
17,0.2,1.5499999999999996,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
18,0.175,1.7249999999999996,No sensor,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
19,0.05,1.7749999999999997,sensor_1750mm,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
20,0.125,1.8999999999999997,sensor_1850mm,s1,55.15,11.68,0.4195,0.2103,0.1269,6.43e-06,0.144,5.1,1567.32,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
